Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LLY,Eli Lilly and Company Common Stock,$922.50,-7.05,-0.758%,871595,United States,,2358190,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AstraZeneca PLC Ordinary Shares,$204.38,2.14,1.058%,633874,United Kingdom,2026.0,2257546,Health Care,Biotechnology: Pharmaceutical Preparations
JNJ,Johnson & Johnson Common Stock,$240.10,2.14,0.899%,578308,United States,,10317360,Health Care,Biotechnology: Pharmaceutical Preparations
ABBV,AbbVie Inc. Common Stock,$210.26,3.79,1.836%,371899,United States,2012.0,6197713,Health Care,Biotechnology: Pharmaceutical Preparations
MRK,Merck & Company Inc. Common Stock (new),$119.96,-0.19,-0.158%,296455,United States,,12447480,Health Care,Biotechnology: Pharmaceutical Preparations
NVS,Novartis AG Common Stock,$153.38,-1.09,-0.706%,292672,Switzerland,,1257017,Health Care,Biotechnology: Pharmaceutical Preparations
AMGN,Amgen Inc. Common Stock,$350.95,1.13,0.323%,189402,United States,1983.0,2106746,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABT,Abbott Laboratories Common Stock,$101.05,0.36,0.358%,175994,United States,,11688687,Health Care,Biotechnology: Pharmaceutical Preparations
NVO,Novo Nordisk A/S Common Stock,$39.32,1.34,3.528%,175563,Denmark,,19653714,Health Care,Biotechnology: Pharmaceutical Preparations
GILD,Gilead Sciences Inc. Common Stock,$140.45,1.42,1.021%,174357,United States,1992.0,6446496,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PFE,Pfizer Inc. Common Stock,$27.11,-0.23,-0.841%,154211,United States,,24541926,Health Care,Biotechnology: Pharmaceutical Preparations
GSK,GSK plc American Depositary Shares (Each representing two Ordinary Shares),$59.18,0.24,0.407%,120692,United Kingdom,2022.0,3753465,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,$58.08,0.02,0.034%,118583,United States,,7612196,Health Care,Biotechnology: Pharmaceutical Preparations
SNY,Sanofi ADS,$47.64,0.68,1.448%,116187,France,,2057736,Health Care,Biotechnology: Pharmaceutical Preparations
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$444.28,4.23,0.961%,113050,United States,1991.0,1445456,Health Care,Biotechnology: Pharmaceutical Preparations
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$755.51,9.05,1.212%,79872,United States,1991.0,637765,Health Care,Biotechnology: Pharmaceutical Preparations
TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$17.85,0.03,0.168%,56179,Japan,2018.0,3180769,Health Care,Biotechnology: Pharmaceutical Preparations
ARGX,argenx SE American Depositary Shares,$828.35,19.08,2.358%,51409,Netherlands,2017.0,228377,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZTS,Zoetis Inc. Class A Common Stock,$121.11,1.03,0.858%,50943,United States,2013.0,2778669,Health Care,Biotechnology: Pharmaceutical Preparations
IDXX,IDEXX Laboratories Inc. Common Stock,$584.05,10.05,1.751%,46443,United States,1991.0,455104,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$339.41,6.41,1.925%,45286,United States,2004.0,1176644,Health Care,Biotechnology: Pharmaceutical Preparations
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,$31.77,0.62,1.99%,36993,Israel,,4291903,Health Care,Biotechnology: Pharmaceutical Preparations
ONC,BeOne Medicines Ltd. American Depositary Shares,$310.00,4.36,1.427%,34392,Cayman Islands,2016.0,317093,Health Care,Biotechnology: Pharmaceutical Preparations
INSM,Insmed Incorporated Common Stock,$153.40,2.26,1.495%,33111,United States,,1309781,Health Care,Biotechnology: Pharmaceutical Preparations
RVMD,Revolution Medicines Inc. Common Stock,$147.01,10.71,7.858%,29133,United States,2020.0,8197807,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$48.82,0.39,0.805%,28166,United States,2020.0,3887227,Health Care,Biotechnology: Pharmaceutical Preparations
BIIB,Biogen Inc. Common Stock,$178.96,2.595,1.471%,26263,United States,,1550569,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UTHR,United Therapeutics Corporation Common Stock,$578.54,0.91,0.158%,25356,United States,1999.0,441290,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$98.41,1.71,1.768%,24732,Germany,2019.0,1087432,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRNA,Moderna Inc. Common Stock,$52.84,2.16,4.262%,20955,United States,2018.0,5410616,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ROIV,Roivant Sciences Ltd. Common Shares,$29.12,0.17,0.587%,20841,United Kingdom,,3954675,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$29.06,0.86,3.05%,18667,Denmark,2019.0,1938492,Health Care,Biotechnology: Pharmaceutical Preparations
VTRS,Viatris Inc. Common Stock,$13.91,0.08,0.578%,16197,United States,,6443453,Health Care,Biotechnology: Pharmaceutical Preparations
SMMT,Summit Therapeutics Inc. Common Stock ,$20.85,0.82,4.094%,16179,United States,2015.0,2324179,Health Care,Biotechnology: Pharmaceutical Preparations
ASND,Ascendis Pharma A/S American Depositary Shares,$249.84,1.29,0.519%,15484,Denmark,2015.0,515234,Health Care,Biotechnology: Pharmaceutical Preparations
BBIO,BridgeBio Pharma Inc. Common Stock,$77.93,0.06,0.077%,15107,United States,2019.0,2435238,Health Care,Biotechnology: Pharmaceutical Preparations
NBIX,Neurocrine Biosciences Inc. Common Stock,$130.81,4.49,3.554%,13128,United States,1996.0,1114018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IONS,Ionis Pharmaceuticals Inc. Common Stock,$76.76,1.81,2.415%,12680,United States,,1595277,Health Care,Biotechnology: Pharmaceutical Preparations
JAZZ,Jazz Pharmaceuticals plc Common Stock (Ireland),$201.06,5.75,2.944%,12377,Ireland,2007.0,970589,Health Care,Biotechnology: Pharmaceutical Preparations
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,$524.99,-0.68,-0.129%,12043,United States,2007.0,302738,Health Care,Biotechnology: Pharmaceutical Preparations
ELAN,Elanco Animal Health Incorporated Common Stock,$24.11,0.25,1.048%,12040,United States,2018.0,2611358,Health Care,Biotechnology: Pharmaceutical Preparations
EXEL,Exelixis Inc. Common Stock,$45.86,0.9,2.002%,11910,United States,2000.0,2532710,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RDY,Dr. Reddy's Laboratories Ltd Common Stock,$13.13,-0.14,-1.055%,10956,India,,2228942,Health Care,Biotechnology: Pharmaceutical Preparations
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$55.47,0.59,1.075%,10668,United States,1999.0,1596888,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,Abivax SA American Depositary Shares,$125.80,4.49,3.701%,9961,France,2023.0,1050160,Health Care,Biotechnology: Pharmaceutical Preparations
PRAX,Praxis Precision Medicines Inc. Common Stock,$343.60,26.6,8.391%,9569,United States,2020.0,703516,Health Care,Biotechnology: Pharmaceutical Preparations
AXSM,Axsome Therapeutics Inc. Common Stock,$184.18,5.85,3.28%,9421,United States,2015.0,820849,Health Care,Biotechnology: Pharmaceutical Preparations
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,$66.69,2.9,4.546%,9338,United States,,1467258,Health Care,Biotechnology: Pharmaceutical Preparations
TECH,Bio-Techne Corp Common Stock,$58.66,1.13,1.964%,9177,United States,,2542145,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PCVX,Vaxcyte Inc. Common Stock,$62.76,1.01,1.636%,9032,United States,2020.0,1006558,Health Care,Biotechnology: Pharmaceutical Preparations
QGEN,Qiagen N.V. Common Shares,$41.76,-0.15,-0.358%,8605,Netherlands,2026.0,1427132,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NUVL,Nuvalent Inc. Class A Common Stock,$105.02,1.33,1.283%,8256,United States,2021.0,434987,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,Cytokinetics Incorporated Common Stock,$66.35,-0.37,-0.555%,8171,United States,2004.0,1894306,Health Care,Biotechnology: Pharmaceutical Preparations
HALO,Halozyme Therapeutics Inc. Common Stock,$67.31,0.33,0.493%,7974,United States,,1460148,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KRYS,Krystal Biotech Inc. Common Stock,$270.00,2.59,0.969%,7947,United States,2017.0,389224,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IBRX,ImmunityBio Inc. Common Stock,$7.60,0.3,4.11%,7813,United States,2015.0,15601139,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RGEN,Repligen Corporation Common Stock,$131.03,8.44,6.885%,7389,United States,1986.0,1223638,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KYMR,Kymera Therapeutics Inc. Common Stock,$89.865,1.335,1.508%,7336,United States,2020.0,573103,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLTE,Belite Bio Inc American Depositary Shares,$171.93,-1.25,-0.722%,6763,United States,2022.0,115956,Health Care,Biotechnology: Pharmaceutical Preparations
ACLX,Arcellx Inc. Common Stock,$114.89,0.02,0.017%,6718,United States,2022.0,543100,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PTGX,Protagonist Therapeutics Inc. Common Stock,$104.72,7.15,7.328%,6682,United States,2016.0,849503,Health Care,Biotechnology: Pharmaceutical Preparations
APGE,Apogee Therapeutics Inc. Common Stock,$88.47,1.73,1.994%,6147,United States,2023.0,559927,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$39.59,0.02,0.051%,6119,United Kingdom,2021.0,6226119,Health Care,Biotechnology: Pharmaceutical Preparations
TERN,Terns Pharmaceuticals Inc. Common Stock,$52.68,0.07,0.133%,6079,United States,2021.0,4681836,Health Care,Biotechnology: Pharmaceutical Preparations
PTCT,PTC Therapeutics Inc. Common Stock,$73.01,2.59,3.678%,6043,United States,2013.0,1400692,Health Care,Biotechnology: Pharmaceutical Preparations
RYTM,Rhythm Pharmaceuticals Inc. Common Stock,$87.28,0.47,0.541%,5959,United States,2017.0,520539,Health Care,Biotechnology: Pharmaceutical Preparations
