Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
COGT,Cogent Biosciences Inc. Common Stock,$36.49,-0.03,-0.082%,5922,United States,2018.0,2339024,Health Care,Biotechnology: Pharmaceutical Preparations
MIRM,Mirum Pharmaceuticals Inc. Common Stock,$96.90,0.41,0.425%,5847,United States,2019.0,896104,Health Care,Biotechnology: Pharmaceutical Preparations
GRFS,Grifols S.A. American Depositary Shares,$8.50,0.14,1.675%,5844,Spain,,708234,Health Care,Biotechnology: Pharmaceutical Preparations
SRRK,Scholar Rock Holding Corporation Common Stock,$49.55,0.03,0.061%,5692,United States,2018.0,1754326,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGON,CG Oncology Inc. Common stock,$67.28,-0.42,-0.62%,5680,United States,2024.0,2010106,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALKS,Alkermes plc Ordinary Shares,$33.87,0.12,0.356%,5630,Ireland,1991.0,1837503,Health Care,Biotechnology: Pharmaceutical Preparations
ERAS,Erasca Inc. Common Stock,$17.85,1.54,9.442%,5547,United States,2021.0,5465229,Health Care,Biotechnology: Pharmaceutical Preparations
TGTX,TG Therapeutics Inc. Common Stock,$34.56,0.77,2.279%,5518,United States,,1412883,Health Care,Biotechnology: Pharmaceutical Preparations
CRSP,CRISPR Therapeutics AG Common Shares,$56.86,2.03,3.702%,5480,Switzerland,2016.0,2100809,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMVT,Immunovant Inc. Common Stock,$26.55,1.43,5.693%,5403,United States,2019.0,2314465,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LNTH,Lantheus Holdings Inc. Common Stock,$82.74,1.07,1.31%,5375,United States,2015.0,603806,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
APLS,Apellis Pharmaceuticals Inc. Common Stock,$40.85,0.01,0.024%,5221,United States,2017.0,4525093,Health Care,Biotechnology: Pharmaceutical Preparations
DNTH,Dianthus Therapeutics Inc. Common Stock,$94.91,4.91,5.456%,5167,United States,2018.0,1140664,Health Care,Biotechnology: Pharmaceutical Preparations
SYRE,Spyre Therapeutics Inc. Common Stock,$64.01,0.74,1.17%,5042,United States,2016.0,1672988,Health Care,Biotechnology: Pharmaceutical Preparations
XENE,Xenon Pharmaceuticals Inc. Common Shares,$59.35,0.75,1.28%,4937,Canada,2014.0,851529,Health Care,Biotechnology: Pharmaceutical Preparations
CORT,Corcept Therapeutics Incorporated Common Stock,$43.68,0.38,0.878%,4646,United States,2004.0,811350,Health Care,Biotechnology: Pharmaceutical Preparations
LGND,Ligand Pharmaceuticals Incorporated Common Stock,$232.34,18.9,8.855%,4633,United States,,570727,Health Care,Biotechnology: Pharmaceutical Preparations
FOLD,Amicus Therapeutics Inc. Common Stock,$14.46,0.0,0.00%,4540,United States,2007.0,4451896,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,$13.12,0.29,2.26%,4185,United States,,1056655,Health Care,Biotechnology: Pharmaceutical Preparations
CRNX,Crinetics Pharmaceuticals Inc. Common Stock,$39.75,1.09,2.819%,4162,United States,2018.0,710284,Health Care,Biotechnology: Pharmaceutical Preparations
NNNN,Anbio Biotechnology Class A Ordinary Shares,$28.84,0.3,1.051%,4149,Germany,2025.0,35705,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VKTX,Viking Therapeutics Inc. Common Stock,$35.52,0.51,1.457%,4116,United States,2015.0,2148890,Health Care,Biotechnology: Pharmaceutical Preparations
INDV,Indivior Pharmaceuticals Inc. Common Stock,$32.97,1.37,4.335%,4113,United Kingdom,,1274308,Health Care,Biotechnology: Pharmaceutical Preparations
NAMS,NewAmsterdam Pharma Company N.V. Ordinary Shares,$34.44,-1.81,-4.993%,3959,Netherlands,,1620076,Health Care,Biotechnology: Pharmaceutical Preparations
TVTX,Travere Therapeutics Inc. Common Stock,$42.13,11.43,37.231%,3891,United States,,14941474,Health Care,Biotechnology: Pharmaceutical Preparations
GPCR,Structure Therapeutics Inc. American Depositary Shares,$53.22,-1.03,-1.899%,3770,United States,2023.0,1050302,Health Care,Biotechnology: Pharmaceutical Preparations
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$22.02,0.56,2.61%,3754,United States,1985.0,1972253,Health Care,Biotechnology: Pharmaceutical Preparations
TLX,Telix Pharmaceuticals Limited American Depositary Shares,$10.70,-0.54,-4.804%,3624,Australia,,547309,Health Care,Biotechnology: Pharmaceutical Preparations
KNSA,Kiniksa Pharmaceuticals International plc Class A Ordinary Shares,$46.92,-0.38,-0.803%,3591,United States,2018.0,727277,Health Care,Biotechnology: Pharmaceutical Preparations
EWTX,Edgewise Therapeutics Inc. Common Stock,$33.16,-0.68,-2.009%,3557,United States,2021.0,1069777,Health Care,Biotechnology: Pharmaceutical Preparations
TWST,Twist Bioscience Corporation Common Stock,$57.41,7.03,13.954%,3519,United States,2018.0,2957423,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGN,Legend Biotech Corporation American Depositary Shares,$18.69,1.0,5.653%,3456,United States,2020.0,2737979,Health Care,Biotechnology: Pharmaceutical Preparations
TNGX,Tango Therapeutics Inc.,$24.06,2.5,11.596%,3433,United States,2020.0,3536746,Health Care,Biotechnology: Pharmaceutical Preparations
LQDA,Liquidia Corporation Common Stock,$38.71,-0.14,-0.36%,3410,United States,2018.0,844841,Health Care,Biotechnology: Pharmaceutical Preparations
ORKA,Oruka Therapeutics Inc. Common Stock,$67.06,5.68,9.254%,3322,United States,,1618999,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
DYN,Dyne Therapeutics Inc. Common Stock,$19.81,0.81,4.263%,3272,United States,2020.0,2279851,Health Care,Biotechnology: Pharmaceutical Preparations
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,$26.19,0.85,3.354%,3198,United States,2006.0,2196010,Health Care,Biotechnology: Pharmaceutical Preparations
DNLI,Denali Therapeutics Inc. Common Stock,$20.16,0.74,3.811%,3197,United States,2017.0,807156,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VERA,Vera Therapeutics Inc. Class A Common Stock,$44.36,0.65,1.487%,3181,United States,2021.0,1249918,Health Care,Biotechnology: Pharmaceutical Preparations
TARS,Tarsus Pharmaceuticals Inc. Common Stock,$73.81,1.16,1.597%,3141,United States,2020.0,278383,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARQT,Arcutis Biotherapeutics Inc. Common Stock,$25.09,0.97,4.022%,3111,United States,2020.0,1611741,Health Care,Biotechnology: Pharmaceutical Preparations
BEAM,Beam Therapeutics Inc. Common Stock,$30.30,0.12,0.398%,3086,United States,2020.0,2191805,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALMS,Alumis Inc. Common Stock,$22.89,0.37,1.643%,2911,United States,2024.0,1210509,Health Care,Biotechnology: Pharmaceutical Preparations
RCUS,Arcus Biosciences Inc. Common Stock,$23.01,0.62,2.769%,2884,United States,2018.0,660425,Health Care,Biotechnology: Pharmaceutical Preparations
SUPN,Supernus Pharmaceuticals Inc. Common Stock,$50.11,0.16,0.32%,2879,United States,2012.0,460036,Health Care,Biotechnology: Pharmaceutical Preparations
IDYA,IDEAYA Biosciences Inc. Common Stock,$32.35,-0.47,-1.432%,2840,United States,2019.0,3808981,Health Care,Biotechnology: Pharmaceutical Preparations
MANE,Veradermics Incorporated Common Stock,$74.99,3.63,5.087%,2800,,2026.0,476677,Health Care,Biotechnology: Pharmaceutical Preparations
KOD,Kodiak Sciences Inc Common Stock,$45.07,3.12,7.437%,2787,United States,2018.0,1345152,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IRON,Disc Medicine Inc. Common Stock,$70.48,2.02,2.951%,2689,United States,,352797,Health Care,Biotechnology: Pharmaceutical Preparations
ELVN,Enliven Therapeutics Inc. Common Stock,$44.85,1.02,2.327%,2682,United States,2020.0,771105,Health Care,Biotechnology: Pharmaceutical Preparations
PBH,Prestige Consumer Healthcare Inc. Common Stock,$56.66,-0.18,-0.317%,2681,United States,2005.0,439461,Health Care,Biotechnology: Pharmaceutical Preparations
HCM,HUTCHMED (China) Limited American Depositary Shares,$15.21,-0.07,-0.458%,2653,Hong Kong,2016.0,27780,Health Care,Biotechnology: Pharmaceutical Preparations
RLAY,Relay Therapeutics Inc. Common Stock,$14.75,-0.51,-3.342%,2636,United States,2020.0,4093332,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMNM,Immunome Inc. Common Stock,$22.90,0.28,1.238%,2590,United States,2020.0,1290784,Health Care,Biotechnology: Pharmaceutical Preparations
ADMA,ADMA Biologics Inc Common Stock,$10.49,0.11,1.06%,2498,United States,,5820795,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ZLAB,Zai Lab Limited American Depositary Shares,$21.96,0.62,2.905%,2429,China,2017.0,614846,Health Care,Biotechnology: Pharmaceutical Preparations
BCRX,BioCryst Pharmaceuticals Inc. Common Stock,$9.67,0.26,2.763%,2425,United States,1994.0,3711542,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
RARE,Ultragenyx Pharmaceutical Inc. Common Stock,$24.57,0.94,3.978%,2415,United States,2014.0,1820058,Health Care,Biotechnology: Pharmaceutical Preparations
PAHC,Phibro Animal Health Corporation Class A Common Stock,$59.02,-0.56,-0.94%,2392,United States,2014.0,231932,Health Care,Biotechnology: Pharmaceutical Preparations
NKTR,Nektar Therapeutics  Common Stock,$81.26,0.81,1.007%,2331,United States,,524317,Health Care,Biotechnology: Pharmaceutical Preparations
SRPT,Sarepta Therapeutics Inc. Common Stock (DE),$22.15,0.36,1.652%,2325,United States,,2293527,Health Care,Biotechnology: Pharmaceutical Preparations
OGN,Organon & Co. Common Stock ,$8.70,0.16,1.874%,2264,United States,2021.0,6952883,Health Care,Biotechnology: Pharmaceutical Preparations
MLYS,Mineralys Therapeutics Inc. Common Stock,$27.32,0.16,0.589%,2252,United States,2023.0,644736,Health Care,Biotechnology: Pharmaceutical Preparations
ADPT,Adaptive Biotechnologies Corporation Common Stock,$14.53,0.4,2.831%,2237,United States,2019.0,1367517,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AAPG,Ascentage Pharma Group International American Depository Shares,$25.69,0.24,0.943%,2236,China,2025.0,867,Health Care,Biotechnology: Pharmaceutical Preparations
CLDX,Celldex Therapeutics Inc.,$33.33,0.74,2.271%,2218,United States,,844341,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
DAWN,Day One Biopharmaceuticals Inc. Common Stock,$21.46,-0.03,-0.14%,2216,United States,2021.0,1275016,Health Care,Biotechnology: Pharmaceutical Preparations
RNA,Atrium Therapeutics Inc. Common Stock,$14.02,0.72,5.414%,2175,United States,,670486,Health Care,Biotechnology: Pharmaceutical Preparations
SNDX,Syndax Pharmaceuticals Inc. Common Stock,$24.43,0.18,0.742%,2154,United States,2016.0,887945,Health Care,Biotechnology: Pharmaceutical Preparations
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares,$16.07,0.01,0.062%,2136,Canada,,1301953,Health Care,Biotechnology: Pharmaceutical Preparations
BHC,Bausch Health Companies Inc. Common Stock,$5.68,-0.04,-0.699%,2121,Canada,,985855,Health Care,Biotechnology: Pharmaceutical Preparations
STOK,Stoke Therapeutics Inc. Common Stock,$35.86,0.81,2.311%,2121,United States,2019.0,663400,Health Care,Biotechnology: Pharmaceutical Preparations
NEOG,Neogen Corporation Common Stock,$9.61,0.47,5.142%,2091,United States,1989.0,2962450,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ANAB,AnaptysBio Inc. Common Stock,$70.22,1.49,2.168%,2018,United States,2017.0,485750,Health Care,Biotechnology: Pharmaceutical Preparations
CAPR,Capricor Therapeutics Inc. Common Stock,$34.72,0.18,0.521%,2008,United States,,949685,Health Care,Biotechnology: Pharmaceutical Preparations
ZYME,Zymeworks Inc. Common Stock,$26.98,0.81,3.095%,1989,United States,,743580,Health Care,Biotechnology: Pharmaceutical Preparations
AGIO,Agios Pharmaceuticals Inc. Common Stock,$33.30,0.15,0.452%,1951,United States,2013.0,652606,Health Care,Biotechnology: Pharmaceutical Preparations
SION,Sionna Therapeutics Inc. Common Stock,$43.30,1.53,3.663%,1948,United States,2025.0,900108,Health Care,Biotechnology: Pharmaceutical Preparations
OCUL,Ocular Therapeutix Inc. Common Stock,$8.76,-0.1,-1.129%,1906,United States,2014.0,2602628,Health Care,Biotechnology: Pharmaceutical Preparations
GLPG,Galapagos NV American Depositary Shares,$28.88,0.32,1.12%,1903,Belgium,2015.0,176721,Health Care,Biotechnology: Pharmaceutical Preparations
TYRA,Tyra Biosciences Inc. Common Stock,$35.27,-0.35,-0.983%,1899,United States,2021.0,1416025,Health Care,Biotechnology: Pharmaceutical Preparations
MESO,Mesoblast Limited American Depositary Shares,$14.61,-0.09,-0.612%,1885,Australia,2015.0,239155,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PHVS,Pharvaris N.V. Ordinary Shares,$28.68,0.8,2.869%,1875,Netherlands,2021.0,134786,Health Care,Biotechnology: Pharmaceutical Preparations
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,$16.92,0.45,2.732%,1870,United States,2022.0,880223,Health Care,Biotechnology: Pharmaceutical Preparations
RXRX,Recursion Pharmaceuticals Inc. Class A Common Stock,$3.54,0.12,3.509%,1866,United States,2021.0,9027611,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PVLA,Palvella Therapeutics Inc. Common Stock,$129.53,0.53,0.411%,1854,United States,,121655,Health Care,Biotechnology: Pharmaceutical Preparations
TRVI,Trevi Therapeutics Inc. Common Stock,$14.04,0.71,5.326%,1805,United States,2019.0,1434666,Health Care,Biotechnology: Pharmaceutical Preparations
INVA,Innoviva Inc. Common Stock,$24.19,0.22,0.918%,1791,United States,2004.0,582938,Health Care,Biotechnology: Pharmaceutical Preparations
VCEL,Vericel Corporation Common Stock,$35.14,0.7,2.033%,1789,United States,,488944,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANIP,ANI Pharmaceuticals Inc.,$78.29,-0.02,-0.026%,1758,United States,,205451,Health Care,Biotechnology: Pharmaceutical Preparations
NTLA,Intellia Therapeutics Inc. Common Stock,$14.78,0.52,3.647%,1746,United States,2016.0,2986311,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RAPP,Rapport Therapeutics Inc. Common Stock,$36.15,1.5,4.329%,1727,United States,2024.0,496259,Health Care,Biotechnology: Pharmaceutical Preparations
HRMY,Harmony Biosciences Holdings Inc. Common Stock,$29.29,0.24,0.826%,1694,United States,2020.0,693130,Health Care,Biotechnology: Pharmaceutical Preparations
NUVB,Nuvation Bio Inc. Class A Common Stock,$4.85,0.15,3.191%,1686,United States,2020.0,2341184,Health Care,Biotechnology: Pharmaceutical Preparations
NRIX,Nurix Therapeutics Inc. Common stock,$16.30,0.39,2.451%,1685,United States,2020.0,1281542,Health Care,Biotechnology: Pharmaceutical Preparations
GENB,Generate Biomedicines Inc. Common Stock,$12.89,0.09,0.703%,1642,United States,2026.0,366111,Health Care,Biotechnology: Pharmaceutical Preparations
DMRA,Damora Therapeutics Inc. Common Stock,$26.73,0.3,1.135%,1611,Denmark,2020.0,325510,Health Care,Biotechnology: Pharmaceutical Preparations
OCS,Oculis Holding AG Ordinary shares,$27.60,0.48,1.77%,1600,Switzerland,,157874,Health Care,Biotechnology: Pharmaceutical Preparations
PRGO,Perrigo Company plc Ordinary Shares,$11.47,0.16,1.415%,1578,United States,,2171399,Health Care,Biotechnology: Pharmaceutical Preparations
BHVN,Biohaven Ltd. Common Shares ,$10.44,0.32,3.162%,1570,United States,2022.0,1591803,Health Care,Biotechnology: Pharmaceutical Preparations
MBX,MBX Biosciences Inc. Common Stock,$32.81,0.0,0.00%,1558,United States,2024.0,462202,Health Care,Biotechnology: Pharmaceutical Preparations
ARDX,Ardelyx Inc. Common Stock,$6.33,0.0,0.00%,1552,United States,2014.0,3736935,Health Care,Biotechnology: Pharmaceutical Preparations
NBTX,Nanobiotix S.A. American Depositary Shares,$31.83,-0.17,-0.531%,1540,France,2020.0,101349,Health Care,Biotechnology: Pharmaceutical Preparations
IMCR,Immunocore Holdings plc American Depositary Shares,$31.69,0.22,0.699%,1523,United Kingdom,2021.0,369721,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCAX,Bicara Therapeutics Inc. Common Stock,$22.98,0.84,3.794%,1504,United States,2024.0,823639,Health Care,Biotechnology: Pharmaceutical Preparations
IOVA,Iovance Biotherapeutics Inc. Common Stock,$3.64,0.18,5.202%,1499,United States,,13912323,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
IMTX,Immatics N.V. Ordinary Shares,$10.95,0.08,0.736%,1468,Germany,,247523,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
OLMA,Olema Pharmaceuticals Inc. Common Stock,$16.30,0.37,2.323%,1420,United States,2020.0,795014,Health Care,Biotechnology: Pharmaceutical Preparations
HROW,Harrow Inc. Common Stock,$37.90,0.8,2.156%,1411,United States,,378023,Health Care,Biotechnology: Pharmaceutical Preparations
PGEN,Precigen Inc. Common Stock,$3.98,-0.19,-4.556%,1408,United States,,4184648,Health Care,Biotechnology: Pharmaceutical Preparations
